time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-19 09:30:00-05:00,MLTrader,6519e12e967e4ba582dd8a728c0605c2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,6519e12e967e4ba582dd8a728c0605c2,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,128.0,0.0
2023-04-10 09:30:00-04:00,MLTrader,39b87343520243818f425c6fe15ffda1,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 09:30:00-04:00,MLTrader,39b87343520243818f425c6fe15ffda1,SPY,sell,market,fill,1,gtc,0.0,1,stock,410.260009765625,183.0,0.0
2023-06-01 09:30:00-04:00,MLTrader,d92fd4a1a72746dd93731de5942ffdec,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-06-01 09:30:00-04:00,MLTrader,4a9e03e10f334d0e9ae6bf8c25bd99fe,SPY,buy,stop,fill,1,day,0.0,1,stock,428.2959838867188,128.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,4dbd72b47d304198aa30b27187a73f2b,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,04f836f35fdc457cb75fbdd20bfd1bfd,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,5c8887e16b104d4e99a0bb98f04faff3,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,afe1345bdc3e4b829326b9f1c31d8646,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,5c8887e16b104d4e99a0bb98f04faff3,SPY,buy,market,fill,1,day,0.0,1,stock,428.44000244140625,183.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,afe1345bdc3e4b829326b9f1c31d8646,SPY,buy,market,fill,1,gtc,0.0,1,stock,428.44000244140625,199.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,e9c612a548fb44f98a9e0af41af378c6,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,22d5ee061c484d88a48cc677c3048219,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,8623df72d94649c99612bf9dabb814c4,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,e3204a263254489c93d0b8e4d3e22edf,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,8623df72d94649c99612bf9dabb814c4,SPY,sell,market,fill,1,day,0.0,1,stock,435.32000732421875,199.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,e3204a263254489c93d0b8e4d3e22edf,SPY,sell,market,fill,1,gtc,0.0,1,stock,435.32000732421875,7.0,0.0
2023-06-29 09:30:00-04:00,MLTrader,e6e044f0d42349c6889ffbd0fbba4358,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-29 09:30:00-04:00,MLTrader,e6e044f0d42349c6889ffbd0fbba4358,SPY,sell,market,fill,1,gtc,0.0,1,stock,441.44000244140625,109.0,0.0
2023-08-01 09:30:00-04:00,MLTrader,0a4e723ea7f847f182c4f3dcba6332b1,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MLTrader,0a4e723ea7f847f182c4f3dcba6332b1,SPY,sell,market,fill,1,gtc,0.0,1,stock,453.25,159.0,0.0
2023-08-11 09:30:00-04:00,MLTrader,2d4bb7af525c47208318d51e59e03ae0,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MLTrader,2d4bb7af525c47208318d51e59e03ae0,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.9700012207031,244.0,0.0
2023-08-21 09:30:00-04:00,MLTrader,3538254864f34ae1a1c6b09511d5304b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,MLTrader,3538254864f34ae1a1c6b09511d5304b,SPY,sell,market,fill,1,gtc,0.0,1,stock,441.17999267578125,368.0,0.0
2023-09-08 09:30:00-04:00,MLTrader,3bdc8a722a30474dbcc205af7a31e293,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-09-08 09:30:00-04:00,MLTrader,3bdc8a722a30474dbcc205af7a31e293,SPY,sell,market,fill,1,gtc,0.0,1,stock,444.8999938964844,547.0,0.0
2023-11-02 09:30:00-04:00,MLTrader,891f5050eef844b68019888a8ba0f556,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,MLTrader,891f5050eef844b68019888a8ba0f556,SPY,sell,market,fill,1,gtc,0.0,1,stock,433.1400146484375,843.0,0.0
2023-11-13 09:30:00-05:00,MLTrader,d32372340aaa4170a8195db8537cc828,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-13 09:30:00-05:00,MLTrader,d32372340aaa4170a8195db8537cc828,SPY,sell,market,fill,1,gtc,0.0,1,stock,439.2300109863281,1247.0,0.0
2023-11-16 09:30:00-05:00,MLTrader,834e122e482d43df9f532a5ec88d46da,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,6bc0de593b3d41bfb56070b33b9c3abd,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,057ec0a08b834478aafaff28856bc50b,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,5dd695582d9b43558a89247464050342,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,f16144a2f9484a00b3dd39bb39ee5035,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,ff0a3e942d2240f3908a7b67f95bb631,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,9f8f8be1f03b4ab592089ea2d833a0b1,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,ed7a5e0112224a33ac4b2f7f1f5ffd16,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,40ee78e05b3d487ea3e38b2a68eb04cc,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,e632a62cac4d452193e14dcbe544a6fc,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,6144a55e5dda436dbcdf7ff459badb6a,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
