time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-19 09:30:00-05:00,MLTrader,3ba922824bcb42dd9cbd950af0082f0d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,3ba922824bcb42dd9cbd950af0082f0d,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,128.0,0.0
2023-02-01 09:30:00-05:00,MLTrader,1cef425318124af78adf0fc86db27bc8,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,MLTrader,bef8e37894ba44798fe1dc504ec15f7d,SPY,buy,stop,fill,1,day,0.0,1,stock,408.82798461914064,128.0,0.0
2023-04-10 09:30:00-04:00,MLTrader,0e3cbb753aec42659ee9c2b610c8f0a4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 09:30:00-04:00,MLTrader,0e3cbb753aec42659ee9c2b610c8f0a4,SPY,sell,market,fill,1,gtc,0.0,1,stock,410.260009765625,119.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,4689dcb0ce5f4c4182a19b9157f29e9d,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,ae616e9eb17e4885abcb7df6c6839d01,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,afde34bcadfc4b22af896eac213bfa1d,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,f3391fef7a8342ca99f8d63b523da917,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,afde34bcadfc4b22af896eac213bfa1d,SPY,buy,market,fill,1,day,0.0,1,stock,428.44000244140625,119.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,f3391fef7a8342ca99f8d63b523da917,SPY,buy,market,fill,1,gtc,0.0,1,stock,428.44000244140625,171.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,f11a3fdc16344e9da77ef2c2a7e28a59,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,29a5fa1185cb40dc97d9b31c4168434e,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,52fc11baa4174b01b3a6d1eb83dec96c,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,f54130602e284e07a19dba1fcad54161,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,52fc11baa4174b01b3a6d1eb83dec96c,SPY,sell,market,fill,1,day,0.0,1,stock,435.32000732421875,171.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,f54130602e284e07a19dba1fcad54161,SPY,sell,market,fill,1,gtc,0.0,1,stock,435.32000732421875,25.0,0.0
2023-06-29 09:30:00-04:00,MLTrader,f60b0c5f6bc34398bc339e65469091bb,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-29 09:30:00-04:00,MLTrader,f60b0c5f6bc34398bc339e65469091bb,SPY,sell,market,fill,1,gtc,0.0,1,stock,441.44000244140625,122.0,0.0
2023-07-26 09:30:00-04:00,MLTrader,41de040bd8e24d2eb4e9518ceb5fdfa6,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-07-26 09:30:00-04:00,MLTrader,155bffa308c04614960f384bc97b7dca,SPY,buy,stop,fill,1,day,0.0,1,stock,459.0199890136719,25.0,0.0
2023-08-01 09:30:00-04:00,MLTrader,7f607dd69d9a4235afbd4c5993fa02ad,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MLTrader,7f607dd69d9a4235afbd4c5993fa02ad,SPY,sell,market,fill,1,gtc,0.0,1,stock,453.25,165.0,0.0
2023-08-11 09:30:00-04:00,MLTrader,0c36551107d64e158597f0639a1c7c71,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MLTrader,0c36551107d64e158597f0639a1c7c71,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.9700012207031,253.0,0.0
2023-08-21 09:30:00-04:00,MLTrader,9a640401f6e9498eb0d3b1c249bbd091,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,MLTrader,9a640401f6e9498eb0d3b1c249bbd091,SPY,sell,market,fill,1,gtc,0.0,1,stock,441.17999267578125,382.0,0.0
2023-09-08 09:30:00-04:00,MLTrader,83589319e72f4d11b2ed2357a0ac0a4a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-09-08 09:30:00-04:00,MLTrader,83589319e72f4d11b2ed2357a0ac0a4a,SPY,sell,market,fill,1,gtc,0.0,1,stock,444.8999938964844,568.0,0.0
2023-11-02 09:30:00-04:00,MLTrader,33c5e949c6304524ac382b9fe9b429df,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,MLTrader,33c5e949c6304524ac382b9fe9b429df,SPY,sell,market,fill,1,gtc,0.0,1,stock,433.1400146484375,875.0,0.0
2023-11-13 09:30:00-05:00,MLTrader,255c720be40941b491c49f88ec52f4a7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-13 09:30:00-05:00,MLTrader,255c720be40941b491c49f88ec52f4a7,SPY,sell,market,fill,1,gtc,0.0,1,stock,439.2300109863281,1294.0,0.0
2023-11-16 09:30:00-05:00,MLTrader,3b2d62997d4643f29c9fefe81407271e,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,0a4a11635b6d4571b5c8228b6b41e6c6,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,3377ef6fdab84719b2e312f96c6c9dcf,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,257c309516764799b6c62c7e0979a4f0,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,6113f53fc09e4b2ba4a6cb6adddacffb,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,c5fc815348974550953c8744af07507e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,b716b72ea961439dbc6f2514a6503c4b,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,db0a041055da434aa1f74ad33e7283bd,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,920f4bffa6c14a6982ce67e790ead2a8,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,2dcc633fbf2546b195cb05f2a03a53dd,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
