time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-04-27 09:30:00-04:00,MLTrader,fbf40ea16dc64e3eb7f1ff5fbcc05015,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-27 09:30:00-04:00,MLTrader,fbf40ea16dc64e3eb7f1ff5fbcc05015,SPY,sell,market,fill,1,gtc,0.0,1,stock,417.239990234375,120.0,0.0
2022-04-28 09:30:00-04:00,MLTrader,03cf830857494e91918694fb186a6256,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,MLTrader,03cf830857494e91918694fb186a6256,SPY,sell,market,fill,1,gtc,0.0,1,stock,422.2900085449219,178.0,0.0
2022-06-10 09:30:00-04:00,MLTrader,8eb3740f477a449ca4d2eaa8a2abb240,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-06-10 09:30:00-04:00,MLTrader,8eb3740f477a449ca4d2eaa8a2abb240,SPY,sell,market,fill,1,gtc,0.0,1,stock,394.8800048828125,285.0,0.0
2022-07-08 09:30:00-04:00,MLTrader,748a6d25bf4c4027bc677ceb3e27c97e,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,c2d7a098fa4748f1bc4cf59f3ef716c7,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,190ac6a62c9343d195fc5eb014dfde98,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,ba8ce48535e047e6aea2e5869ffdd883,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,806759c8e7c04155ad9924009d6ebe99,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,008fb5e36f7c4016bef4f6dde8182cd6,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,690f2c4b157743abbf9261060be16cef,SPY,buy,market,new,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,e717a34991bb4898b5cda40a4e73ad03,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,690f2c4b157743abbf9261060be16cef,SPY,buy,market,fill,1,day,0.0,1,stock,387.2699890136719,583.0,0.0
2022-07-08 09:30:00-04:00,MLTrader,e717a34991bb4898b5cda40a4e73ad03,SPY,buy,market,fill,1,gtc,0.0,1,stock,387.2699890136719,435.0,0.0
2022-09-23 09:30:00-04:00,MLTrader,df9e34665c7d4389bc3c8e0d76fbd0ab,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-23 09:30:00-04:00,MLTrader,38d1b0542fa24c2a9be1f95215b8fb2e,SPY,sell,stop,fill,1,day,0.0,1,stock,367.90648956298827,435.0,0.0
2022-09-27 09:30:00-04:00,MLTrader,49363095c134404f9823008ca47086b7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-27 09:30:00-04:00,MLTrader,49363095c134404f9823008ca47086b7,SPY,sell,market,fill,1,gtc,0.0,1,stock,368.0199890136719,140.0,0.0
2022-09-28 09:30:00-04:00,MLTrader,600e79af71f148d896062a09e7ca8402,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-28 09:30:00-04:00,MLTrader,600e79af71f148d896062a09e7ca8402,SPY,sell,market,fill,1,gtc,0.0,1,stock,364.3800048828125,213.0,0.0
2022-10-25 09:30:00-04:00,MLTrader,3465d4f70ad34786977ed8e787e71cf6,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-10-25 09:30:00-04:00,MLTrader,098ac39b47c345009cda2d5eb96c5946,SPY,buy,stop,fill,1,day,0.0,1,stock,382.59900512695316,213.0,0.0
2022-10-26 09:30:00-04:00,MLTrader,4a1d9644d56746cfa1ad4ec9fb22dfd1,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-10-26 09:30:00-04:00,MLTrader,7d19d6d0a23d40369d70f03642f8e973,SPY,buy,stop,fill,1,day,0.0,1,stock,386.4209884643555,140.0,0.0
2023-01-19 09:30:00-05:00,MLTrader,1be69eedb4bb454284b1ce654d606bfa,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,1be69eedb4bb454284b1ce654d606bfa,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,124.0,0.0
2023-02-01 09:30:00-05:00,MLTrader,646c98de109c4657861e00c5b928a5de,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,MLTrader,b464f85a96eb4ef79fba97bae6eae9ab,SPY,buy,stop,fill,1,day,0.0,1,stock,408.82798461914064,124.0,0.0
2023-04-10 09:30:00-04:00,MLTrader,66df6e49c2d3421fb572ef4ef161d416,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 09:30:00-04:00,MLTrader,66df6e49c2d3421fb572ef4ef161d416,SPY,sell,market,fill,1,gtc,0.0,1,stock,406.6099853515625,116.0,0.0
2023-06-02 09:30:00-04:00,MLTrader,6aa834bf8ad2428690ba67f0dfb7541f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-06-02 09:30:00-04:00,MLTrader,5632794551ac4451bcfa5d1b75f03aec,SPY,buy,stop,fill,1,day,0.0,1,stock,426.94048461914065,116.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,de2494926c4f49f0bfe1a6950c4ceb2c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,de2494926c4f49f0bfe1a6950c4ceb2c,SPY,buy,market,fill,1,gtc,0.0,1,stock,426.6700134277344,108.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,b9b27925a66645f3901557670773a51e,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,b454cd207c9b49ec8b24254884bf68a8,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,4c0c3526ddeb4996aecdd8344ed3b7b7,SPY,sell,market,new,1,day,0.0,1,stock,,,
